# CBS achternamen — top Dutch surnames (seed subset)
# Source: CBS Centraal Bureau voor de Statistiek — public data.
# Format: one surname per line. Comments (#) and blank lines ignored.
# The loader takes the first column (split on ; , or tab) so the
# real CBS file can drop in here unmodified — see README.md.
#
# Leading tussenvoegsels (van, de, der, ten, ter, 't, ...) are handled
# separately by name_engine.py — list only the core surname here.
Aarts
Abdi
Abels
Abma
Adema
Adriaans
Adriaanse
Adriaansen
Aerts
Akkerman
Albers
Alberts
Alders
Alexander
Ali
Altena
Altink
Ambagtsheer
Amesz
Ammerlaan
Andela
Andeweg
Andreae
Andriessen
Aoulad
Arends
Arendse
Arentsen
Aresman
Arntz
Arts
Aslan
Assen
Assink
Astra
Aukema
Aussems
Baas
Backer
Baden
Baer
Bais
Bakhuizen
Bakker
Bal
Bannink
Barents
Barten
Bartels
Bast
Bastiaans
Bastiaanse
Bastiaansen
Basten
Bauwens
Bax
Beek
Been
Beenen
Beens
Beentjes
Beerends
Beerman
Beernink
Beers
Beets
Beetsma
Behr
Beijer
Beijers
Beintema
Bekker
Bekkers
Bel
Belder
Bemelmans
Benda
Bennink
Bentvelzen
Berben
Berends
Berendsen
Berendse
Berendonk
Berens
Berg
Bergenhenegouwen
Berger
Bergers
Bergh
Bergman
Bergmans
Bergsma
Bergwerff
Berkel
Berkelder
Berkhof
Berkhout
Bernard
Bernink
Bernts
Bert
Berteling
Bertens
Berveling
Berwer
Beukema
Beumer
Beun
Beuningen
Beusink
Beuving
Beverdam
Bezemer
Bierhuizen
Bierings
Bierman
Biesheuvel
Bijl
Bijleveld
Bijman
Bijster
Bik
Bikker
Bilderbeek
Binnenmars
Binsbergen
Bisschop
Bisschops
Bitter
Bleeker
Bleijenberg
Bliek
Blijleven
Blijlevens
Blind
Bloem
Bloemen
Bloemendaal
Blok
Blokhuis
Blokker
Blokland
Blokzijl
Blom
Blume
Boasson
Bodegraven
Boekelman
Boelen
Boelhouwer
Boelsma
Boels
Boer
Boerboom
Boere
Boeren
Boerma
Boers
Boersen
Boersma
Boertien
Boessen
Boesten
Boesveld
Bogaard
Bogaards
Bogaart
Bogers
Boink
Bokhorst
Bol
Boland
Bolhuis
Bolier
Bolkestein
Bollen
Bolmer
Bolt
Bolten
Bolwerk
Bom
Bomer
Bongaerts
Bonnet
Bonnink
Bons
Boogaard
Boogaardt
Boogerd
Bood
Boogaard
Book
Bool
Boom
Booms
Boon
Boone
Boontjes
Boot
Booy
Boreel
Borg
Borgdorff
Borgers
Borghorst
Borgman
Borman
Bos
Boshuizen
Bosch
Boschloo
Boschma
Bosker
Bosma
Bosman
Bossers
Bosschaart
Bossink
Bot
Both
Bots
Bottema
Bouma
Boumans
Boumeester
Bousema
Boutkan
Bouw
Bouwer
Bouwhuis
Bouwknegt
Bouwman
Bouwmans
Bouwmeester
Boven
Boxma
Boxum
Brabant
Braaksma
Braam
Braber
Braken
Brand
Brandenburg
Branderhorst
Brandjes
Brands
Brandsen
Brandsma
Brandts
Brands
Brandwijk
Brans
Brants
Brasser
Brederveld
Bree
Breederveld
Breedveld
Breeman
Breen
Breet
Breij
Bresser
Breukel
Breuker
Brinkhof
Brinkhuis
Brinkman
Brinkmann
Brochard
Broeders
Broeke
Broekema
Broekhof
Broekhoven
Broekhuis
Broekhuizen
Broeksma
Broeksmit
Broer
Broere
Broers
Brok
Brokaar
Brom
Brommer
Bron
Bronkhorst
Brons
Bronsema
Bronstee
Brood
Brouns
Brouwer
Brouwers
Bruggink
Bruijn
Bruin
Bruinewoud
Bruining
Bruinink
Bruinsma
Bruinzeel
Brunt
Buijs
Buijsse
Buisman
Buitelaar
Buitenhuis
Bukman
Bul
Bulder
Bult
Bulthuis
Bults
Bunnik
Bunt
Bunte
Burger
Burgers
Burggraaf
Burghardt
Burghouts
Burghout
Burgman
Buring
Burgt
Busch
Busink
Bussink
Buter
Buth
Butter
Buursink
Buys
Buysman
Buysse
Caaij
Cadée
Campen
Canisius
Cats
Centen
Cetin
Chen
Christianen
Cillessen
Claessens
Claus
Clement
Cloudt
Coenders
Coenen
Cohen
Colijn
Commandeur
Coolen
Cools
Coppens
Cornelisse
Cornelissen
Cornelis
Coster
Couperus
Craeynest
Crins
Croes
Crombach
Cuijpers
Daalder
Daanen
Dalen
Dalhuisen
Dalstra
Damen
Damhuis
Damman
Damsma
Danen
Dangremond
Daniel
Dankers
Dannenberg
Dantuma
Davidson
Davidse
Deckers
Deelen
Deen
Degen
Degenaar
Dekker
Dekkers
Delfgaauw
Dellemijn
Delhij
Demmers
Denie
Denissen
Dessens
Deutekom
Deutsch
Deuzeman
Deventer
Diemel
Diemer
Dieleman
Diepenmaat
Dierickx
Dierx
Dieters
Dietz
